2023-05-07 19:49:30+00:00,1655298832945799169,"b'RT @_Reaganite_: What caused the Great Depression?\n\nIt was started by an atrocious monetary policy, worsened by new tariffs, and prolonged\xe2\x80\xa6'"
2023-05-07 19:49:29+00:00,1655298827862114306,b'RT @smo1kel: seasonal depression (all 4 seasons)'
2023-05-07 19:49:28+00:00,1655298824724783105,"b'RT @sarahroseetter: while i was deep in grief, i was researching brain waves &amp; one thing i learned is that during severe depression/grief,\xe2\x80\xa6'"
2023-05-07 19:49:23+00:00,1655298805485514755,b'RT @Theholisticpsyc: Underneath depression symptoms is often seething anger from needs going unmet.'
2023-05-07 19:49:23+00:00,1655298803639939081,"b'https://t.co/n7zdtfq3Yz\n\nIf you are struggling with #addiction and trying to get back on your feet again, I highly\xe2\x80\xa6 https://t.co/3lQH6qGyyE'"
2023-05-07 19:49:22+00:00,1655298801232379906,"b""In this thread, we'll explore some common causes and potential treatments for male orgasmic disorder.\n1. Male orgas\xe2\x80\xa6 https://t.co/ejVGLTCZEX"""
2023-05-07 19:49:22+00:00,1655298798220898309,"b'RT @nytimes: Eating ultraprocessed foods like cereal and frozen meals has been associated with anxiety, depression and cognitive decline. S\xe2\x80\xa6'"
2023-05-07 19:49:21+00:00,1655298797063532544,"b""Ferrari c'mon please don't be another weekend of depression #MiamiGrandPrix"""
2023-05-07 19:49:21+00:00,1655298794030809092,"b'RT @lucissasgirl: say \xe2\x80\x9ci kin james potter\xe2\x80\x9d and no one bats an eye. \n\nsay \xe2\x80\x9ci kin remus lupin""\n \nAND SOCIETY.  \n\nSOCIETY SAYS I HAVE DEPRESSI\xe2\x80\xa6'"
2023-05-07 19:49:20+00:00,1655298789521981440,"b'RT @CNN: Postpartum depression. Psychosis. Anxiety. \n\nNine mothers around the world share the struggles they faced during ""the happiest tim\xe2\x80\xa6'"
2023-05-07 19:49:17+00:00,1655298776918269952,b'RT @1CED4NCER: i protected my peace (isolated myself from everyone) and am enjoying life in my castle (my depression room)'
2023-05-07 19:49:15+00:00,1655298771897524225,"b'RT @sarahroseetter: while i was deep in grief, i was researching brain waves &amp; one thing i learned is that during severe depression/grief,\xe2\x80\xa6'"
2023-05-07 19:49:10+00:00,1655298749336543232,"b'RT @sarahroseetter: while i was deep in grief, i was researching brain waves &amp; one thing i learned is that during severe depression/grief,\xe2\x80\xa6'"
2023-05-07 19:49:07+00:00,1655298735771987968,b'RT @laurenatlas: Such a cool way to investigate the contribution of expectancy to ketamine effects on depression! #placebo'
2023-05-07 19:49:05+00:00,1655298730352943108,"b""i'm not struggling with depression anymore. depression is struggling with me."""
2023-05-07 19:49:03+00:00,1655298720337129472,"b'RT @KevinSabet: Another day, another indictment on marijuana.\n\nColumbia U: Casual Cannabis Use By Teens Raises Risk of Depression, Suicidal\xe2\x80\xa6'"
2023-05-07 19:49:02+00:00,1655298715064864768,"b'RT @sarahroseetter: while i was deep in grief, i was researching brain waves &amp; one thing i learned is that during severe depression/grief,\xe2\x80\xa6'"
2023-05-07 19:49:00+00:00,1655298706034270209,b'you can prove alcohol treats depression in a forced swim test ;) https://t.co/PhrYhPafge https://t.co/NuMeOPPxi2'
2023-05-07 19:48:59+00:00,1655298701319888897,b'Bros who thinks they sinking into depression should listen to all 50 cent songs.\n\nIt\xe2\x80\x99s better than depression pills\xe2\x80\xa6 https://t.co/RepfEqo6Vf'
2023-05-07 19:48:55+00:00,1655298686543380481,"b'@eclipsethis2003 Glorified Mass Murder is caused by: depression, mental illness, hopelessness, anger stoked by poli\xe2\x80\xa6 https://t.co/p5IkqU3agd'"
